person,imagenum,Male,White,Black
Bodharamik,1,1.21820359835,-0.140994234034,-1.61001025847
Aguilar,Zinser,1,-1.85134571962,0.727487567278
Aguilar,Zinser,2,-0.8256062528,0.653224391355
Aguilar,Zinser,3,-0.578915400512,-0.713648516049
Rodriguez,Saa,1,-1.11841394292,-0.491993429734
Rodriguez,Saa,2,-0.667034423369,-0.44191808305
Gopalakarishnan,1,1.47377829639,0.446850354793,-1.99858130535
Lima,1,-0.265648304887,0.876993030067,-0.456681897303
Annus,1,0.0368418657404,0.995360636705,-1.87538727453
Perez,Navarro,1,-0.746867233694,0.658827712452
Fernandez,1,0.687753304575,-0.105257723109,-1.8031767922
McPherson,1,0.67037718588,-0.999747193607,-1.30100638115
McPherson,2,1.14806068373,-1.2822357325,1.566471974
Murrell,1,1.71883854507,-1.51434004346,0.945843669215
Nastase,1,1.91624958109,0.599386995671,-2.33742951861
Nastase,2,0.442674472281,1.42946322285,-2.50002358308
Zuzic,1,0.207868589308,0.302871692265,-0.659607045982
Brody,1,0.709997593274,-0.424214767833,-1.34166923685
Brody,2,-1.04877091565,0.0688322306377,-2.10388169853
Brody,3,-0.595108373924,-0.0849791178122,-2.55877476228
Brody,4,0.685281142391,0.875329131707,-1.87478364741
Brody,5,0.257523514993,0.599907946506,-1.00813620932
Brody,6,-0.782231324136,0.43272639892,-2.16013814812
Brody,7,0.516734090945,0.346132885159,-1.54033098949
Brody,8,0.843448327847,-0.462846011517,-1.39093393737
Brody,9,0.791547745722,-0.419891128923,-2.14381094711
Brody,10,0.812578637918,-0.0116112133009,-2.13100822475
Brody,11,-0.254733873828,-0.284188279417,-2.33204042435
Brody,12,-0.311962275301,-0.425367317059,-2.62156669954
Smith,1,-1.15553085706,0.135350335741,-1.98184950874
Darego,1,-0.878623038352,-1.62041778049,1.33043951968
Queiroz,1,1.56862853539,0.00283763390034,-0.475613241588
Bruckner,1,-0.293842100173,0.95558538972,-1.93384084565
Jbarah,1,1.50753124176,-0.26195012795,-1.4190281414
Masood,1,0.765365238465,0.164842549975,-1.26194877435
Masood,2,0.664696384385,0.131494765772,-2.61395140722
Ahmed,1,1.5278143001,-1.42139094558,-2.19486390579
Chalabi,1,1.1648841802,0.158598458451,-1.45730448511
Chalabi,2,1.18361198905,0.640420120509,-1.75492051488
Chalabi,3,1.33417210481,1.42133302033,-0.694377885067
Chalabi,4,1.35632640815,1.20050793237,-1.59549670255
Chalabi,5,1.26500496869,0.977971089305,-2.07021316996
Ghazi,1,2.47918033813,-0.261279100319,-0.503238909876
Ibrahim,Bilal,1,-1.07520800716,-1.08311220667
Lopez,1,2.00060604769,0.910793147094,-1.36827202882
Qureia,1,1.00898100102,1.52345381081,-2.11669238002
Demir,1,2.09388713592,0.775742957709,-1.84835490716
Necdet,Sezer,1,-1.41860571926,0.467993239534
Necdet,Sezer,2,-1.60096838901,0.4577482607
El,Ouafi,1,-1.75906190513,-0.4342810095
El,Ouafi,2,-1.78861365816,-0.109749011055
El,Ouafi,3,-1.81987297672,-0.280116311885
Quinn,1,1.030548029,1.42834074115,-1.62811018328
Riggin,Soule,1,-0.113376891012,0.710705115113
Seppik,1,0.264242129768,0.978215022972,-1.7777508772
Dyer,1,0.810449706497,-1.80986364564,-0.516616993093
Rai,1,-2.28965198703,-0.569674013733,-1.67720339563
Sugiyama,1,-1.03048547436,-0.517012479242,-1.24435041456
Sugiyama,2,-1.05946397204,-1.25551086398,-2.19168169979
Sugiyama,3,-0.910251634345,-0.7189216518,-1.18625681154
Sugiyama,4,0.0751380236873,-0.171081428796,-1.79401063815
Sugiyama,5,-0.765781985164,-0.732663723549,-2.11519950868
Gonzalez,1,-0.219199525755,0.355273666275,-1.8583712959
Gonzalez,2,1.12546754793,-0.127282534894,-2.290352486
Smith,1,-0.903708981334,-0.477104420595,-0.422836894733
Cook,1,-2.10431357117,1.59159997371,-1.04568493968
Agarkar,1,0.203555066014,-0.909881350856,-1.79466629218
Lamas,1,0.0613136924102,0.190530027481,-1.44969253971
Al,Baker,1,-1.62245459576,0.831499795749
Hashemi,Rafsanjani,1,-0.620578817011,0.46300456158
Hashemi,Rafsanjani,2,-1.06981651342,0.542500819494
Hashemi,Rafsanjani,3,-1.41511487518,1.01962899891
Zakayev,1,2.78165116762,0.447965683571,-2.86975354084
Zakayev,2,2.4145997051,0.181157078188,-1.82697623363
Zakayev,3,1.96131798368,0.835088207237,-2.56751506898
Morigami,1,-0.659745602574,-0.545964166321,-1.05342124734
Taher,1,1.46748645299,-1.10245892079,-1.36864114545
Cervantes,1,1.39471035556,-0.0739489497013,-0.242813600419
Ducasse,1,0.975133838811,1.01239790311,-2.32822386946
Ball,1,1.31680745526,0.385890297499,-1.50358670805
Ball,2,1.23289315826,0.454259968091,-2.36832032877
Dershowitz,1,1.88127029588,1.50906292478,-1.73702182224
Dreher,1,0.829218222248,0.912742381268,-0.801332006481
Greenspan,1,0.453376689316,-0.0468872083648,-0.927096969563
Greenspan,2,0.508637309578,-0.509358463512,-0.696993528727
Greenspan,3,1.55847738179,-0.219290327482,-0.814767740125
Greenspan,4,1.16991480925,0.0708981184265,-1.46117309702
Greenspan,5,1.11671796653,-0.0100964962135,-1.66798984667
Greer,1,1.58817486481,0.805100473162,-1.8585270245
Morissette,1,-1.27398591536,0.550590411797,-0.768159655007
Jackson,1,0.939824307618,0.349422749554,-1.22674518048
Mulally,1,0.973121497992,0.813268463676,-1.74578404196
Mulally,2,0.154037478179,0.944176434776,-1.19848806432
Ubach,1,-2.27576778766,0.389512737241,-1.1914146204
Stonecipher,1,1.96206799325,1.52211953829,-1.76298902049
Tang,Kwong-wing,1,0.042369544537,-0.477725322939
Trammell,1,0.354607732516,0.440986879275,-2.9388161742
Zemaitis,1,1.57185054521,-1.34641623679,-1.01333140182
Campbell,1,0.782455787134,1.90882501388,-2.80949355806
Campbell,2,0.925627304613,0.581209665196,-0.214467487061
Campbell,3,0.801799937508,1.15076111726,-2.72166328402
Campbell,4,1.68856296878,2.15493168226,-2.26266951336
Campbell,5,2.20409041398,0.88967068961,-2.20256174571
Johnston,1,0.700528689035,0.928807769924,-1.603376236
Recoba,1,0.99830019965,0.341253886826,-1.49587808406
Lee,1,-0.293016920621,-0.133978233244,-2.07276790026
Brooks,1,-0.18525500514,1.31445093053,-1.75280199476
Costa,1,0.579606278114,-0.353508602899,-0.78063750685
Costa,2,1.89058408872,-0.324630807854,-2.42261150162
Costa,3,1.50813325764,-0.181693443689,-2.59617577428
Costa,4,0.67162781546,-0.275051490572,-1.37990622619
Costa,5,0.820462400205,0.00430929922424,-1.62316988725
Costa,6,0.854292444706,-0.225117160903,-1.83093354351
Montanes,1,0.884424280608,0.613089704889,-1.78371454709
Acosta,1,0.199430822343,0.408302465363,-2.4823285211
Fujimori,1,0.97047411881,-0.833600650087,-1.86990244939
Fujimori,2,1.40956699057,-0.751403586148,-0.585828873907
Gonzales,1,0.859549462704,-0.792983096264,-2.29939609497
Ruiz,Gallardon,1,-0.475344089374,0.57195920239
Ruiz,Gallardon,2,-0.228606826406,-0.95206333048
Sordi,1,0.878356532619,0.27440345065,-1.71107764019
Pujols,1,-0.727953101722,0.207277964278,-0.615863726156
Mentz,1,1.56029841923,0.65739261455,-2.32025145876
Mentz,2,1.34120555447,1.07121205201,-1.37524946626
Cardenas,1,1.22664557025,0.862906231214,-0.716344247137
Davis,1,0.728104890233,0.33071275299,-1.63480779954
Davis,2,1.59570653926,0.874397505774,-1.08643960254
Paredes,1,1.22055229197,0.594171662083,-1.20926470814
Paredes,2,-0.120124538173,-0.6251284527,-0.489972468878
Baldwin,1,2.91080382041,1.57735010133,-2.22928218175
Baldwin,2,1.13294187717,0.422470110256,-2.16109812033
Baldwin,3,-0.191090966977,0.924528353784,-2.98968340795
Baldwin,4,1.97615813141,2.62277699768,-2.4218973137
Markides,1,0.91446975319,1.5910054817,-2.13455264405
Atchugarry,1,1.12607380027,1.03088017801,-1.80334769833
Atchugarry,2,1.13381684834,1.09972851795,-1.54847545309
Avila,1,1.77550614576,0.0022737525853,-0.849140549857
Avila,2,2.15035929896,-0.348917944031,-1.08269318086
Avila,3,2.17555236039,-0.252387138279,-1.04367787341
Fernandez,1,2.5232160967,-0.656105712647,-2.03469354512
Gonzalez,Inarritu,1,-1.16278511512,0.0579890010507
Lembo,1,1.2107277954,-0.934071505028,-1.18912734252
Lerner,1,2.14031468282,0.0296383266803,-0.662065124607
Lopez,1,0.871317157946,0.617038911481,-1.18357923825
Toledo,1,1.72275257994,-0.049061812473,-1.90712194336
Toledo,2,1.20850628105,-0.356875367084,-2.6191539029
Toledo,3,1.77758925417,0.987695913413,-0.510456429593
Toledo,4,0.207385051845,-0.778391216378,-1.04668261041
Toledo,5,0.535480081194,-0.0593983506121,-2.13396046535
Toledo,6,1.3396323731,0.37544269768,-1.53387411581
Toledo,7,0.995532023368,-0.510054304403,-2.27180938621
Toledo,8,1.97565776994,-0.517151123375,-1.04993000496
Toledo,9,1.92493021392,0.116271423805,-0.977557891638
Toledo,10,1.18814450175,-0.438082386109,-1.30826477839
Toledo,11,0.946678914643,0.18193465304,-1.42858913691
Toledo,12,0.550323860228,-0.167974450149,-1.30127508266
Toledo,13,0.972391708308,-0.241428703368,-1.8433906007
Toledo,14,0.743226095744,0.480127124226,-2.18003562975
Toledo,15,0.542905338816,-0.426750624601,-0.968930151741
Toledo,16,1.19748150601,-0.912682369325,-2.27133346703
Toledo,17,1.69529200379,-0.277589562965,-1.21003312988
Toledo,19,0.60397532705,-0.408541853501,-2.24935500689
Toledo,20,1.59479442462,-0.0901991942156,-2.52397454429
Toledo,21,0.913843949218,-0.767984526503,-3.10277692367
Toledo,22,0.775687859048,1.15321432175,-2.65083444939
Toledo,23,0.152226240001,0.11125285327,-1.40028682292
Toledo,24,1.06623473549,0.338857008988,-1.98770745393
Toledo,25,1.05655680315,0.588362277025,-1.23585995098
Toledo,26,0.525248773048,-0.689801086255,-2.61007189899
Toledo,27,1.07612328065,-0.910283837849,-1.0877726468
Toledo,28,0.456228550836,-0.991577097452,-1.28327384793
Toledo,29,2.28059903572,0.105108920626,-1.25840449915
Toledo,30,0.808719737118,-1.05930266784,-1.57653215054
Toledo,31,-0.119300342428,-0.408422832055,-0.565191041258
Toledo,32,0.720818645612,-0.720105575361,-0.915803775175
Toledo,33,1.52861892314,-0.104246595701,-1.50942785989
Toledo,34,1.31712277284,-0.333264330523,-2.45711348914
Toledo,35,0.621475743307,0.680302036658,-2.50838632684
Toledo,36,0.882853724463,0.141049048801,-2.35846826107
Toledo,37,1.47517043557,-0.332547411128,-1.41653181274
Toledo,38,1.25905464534,0.233316206815,-1.63796215466
Toledo,39,0.788520973037,0.115084854236,-1.6985470385
Kwasniewski,1,0.999628101923,0.850950303614,-0.930447956083
Kwasniewski,2,1.26320871486,1.17013751952,-1.56262600838
Kwasniewski,3,-0.0724181161403,0.759466148388,-1.40575723359
Kwasniewski,4,0.303512273903,1.3685845981,-2.5879343153
Voloshin,1,1.58771199949,2.35057898052,-2.69659281044
Wek,1,0.276555435301,-0.774980488024,-0.232232745811
Cerna,1,0.0446550339535,-0.649353031353,-1.50399907898
Nesta,1,2.13008089323,0.141309939442,-1.93401354325
Loren,1,-1.42463719147,0.392975184996,-1.51223684632
Downer,1,0.116797037423,1.75838234074,-2.59583315487
Downer,2,1.16909089045,1.39907474372,-2.26559639342
Downer,3,1.68849666743,1.05819276659,-2.16304057618
Downer,4,1.26351981368,2.28952160967,-2.69196429826
Losyukov,1,1.96667469071,0.573410875342,-2.40479681239
Losyukov,2,0.99796633241,0.565987754589,-1.97185560745
Losyukov,3,1.29498785793,0.726425481322,-1.3279997471
Losyukov,4,0.646026003168,0.721244021253,-1.86687152094
Lukashenko,1,2.17984034432,0.924980923191,-1.84015742954
Payne,1,0.739882786457,0.497683889849,-2.056898178
Rumyantsev,1,2.16110606612,1.36617005625,-3.77902706918
Rumyantsev,2,2.22367927994,1.40371032692,-1.94339916918
Jackson,1,-0.133424258658,0.601875894927,-1.83526596753
Pelosi,1,-0.650978259274,0.943253599593,-1.20796579684
Rozovskaya,1,-2.04119584316,0.412558061604,-1.99297637737
Spann,1,-0.215437993485,0.761031990079,-1.29753599942
Stevenson,1,-0.806377617766,-1.1542422055,-1.68788609721
Stevenson,2,-0.344873250363,-0.490642313635,-2.49192139698
Stevenson,3,-0.92674597258,-0.470889536505,-2.12654088773
Vodjanikova,1,-1.23871521389,1.63511153691,-1.41804832586
Vodjanikova,2,-1.21598505631,0.986719254397,-2.3773142282
Daigle,1,1.63807345616,1.22025131593,-3.09720586699
Despatie,1,2.02968649893,0.714589524425,-1.85157326047
Herchcovitch,1,0.0941942881432,0.636619063051,-2.25575022768
Vinokourov,1,0.441757650401,0.718043047774,-0.775126253364
Vega,1,-1.64896667092,0.515963237608,-2.45972165763
Barros,1,0.719434202425,0.434809561273,-2.12567363743
Barros,2,0.31218045793,0.0541341335221,-1.77403635371
Cabrera,1,1.46236362743,0.32800641118,-1.71972798447
Cejka,1,1.77110238621,1.34173561246,-2.16405791041
Corretja,1,0.274589815459,0.241746734409,-1.9031513622
Ferguson,1,1.2471153687,1.53704400557,-0.390493633349
Gonzalez,1,0.863524436572,-0.525729948301,-1.49167157061
Holmes,1,0.50556623239,0.767332821444,-2.50528413159
Bledel,1,-1.91113948375,1.31227545992,-2.04094967527
Dennisoff,1,0.616255908155,1.02786164856,-1.84273402862
King,1,0.680649960732,0.661397805518,-2.06286197914
Penelas,1,0.74097466312,0.760250014472,-2.26616911463
Penelas,2,1.0644192486,1.03518476526,-2.57265117851
Popov,1,0.0114839213504,0.81103861774,-2.38678523793
Sink,1,-0.88799601053,-0.356321602346,-2.30475495655
Sink,2,-0.907693939116,-0.824575190947,-2.12295192184
Sink,3,-0.0982242697614,-0.120102627538,-2.31307833734
Wallau,1,0.286540651595,2.57271770651,-2.88673563678
Zanardi,1,1.66109261048,0.921951623538,-2.40150005027
Cuaron,1,1.92637316297,0.254533077375,-3.25429961591
Portillo,1,0.948236030048,0.884245080376,-3.37226543931
Soriano,1,0.888855362122,-1.72020958955,0.364506821404
Ford,1,-0.122073938304,0.162702808274,-1.53366599457
di,Stefano,1,-1.33162137129,-0.11020038731
Moreno,1,1.3963655194,-1.88450569399,-1.13715305147
Pena,1,0.646999890657,0.385968840592,-1.04887026153
Sant,1,0.95090158678,0.212806259312,-1.26867820508
Gore,1,0.48317783496,1.22455429682,-2.39223963747
Gore,2,1.21336791321,1.73434030038,-2.05609093484
Gore,3,0.463742967761,0.43930124054,-1.02550793918
Gore,4,1.27793895768,0.406004894694,-2.26564744138
Gore,5,0.028431517447,0.629665208669,-0.702818854675
Gore,6,0.931494229575,0.601793688681,-0.980220878495
Gore,7,0.279013085146,0.121222315807,-0.722116831861
Gore,8,0.888614156139,1.43560963448,-2.35440300507
Abbas,1,-1.0014474954,1.00369519959,-3.04164314657
Abbas,2,-0.847571890865,0.64374178367,-2.15211825828
Abdullah,Saleh,1,-0.250232519331,-1.83086380877
Adbul,Karim,Madani,1.27200418952,-2.96573138523
Ahmeti,1,1.15695983589,1.11392149833,-1.57434722761
Bin,Hussein,1,-1.94913517395,0.0897894680902
Fisher,1,-0.159238750734,1.11002930879,-1.92005147583
Fisher,2,-0.504876744067,0.312025801514,-1.2910111887
Hollowell,1,0.930777934068,0.513081554033,-2.10132266479
Keys,1,-1.08975978595,-0.637362959445,-1.29649400129
Molik,1,0.875725736703,1.04866676561,-1.41897392174
Silverstone,1,-1.30852390656,1.25173441752,-1.52861083209
Silverstone,2,-1.1481070628,1.25813280591,-1.93100654531
Witt,1,-1.82714157396,1.29939695183,-1.51024691446
Fallahian,1,1.87830838565,-0.299594287625,-1.33502007372
Hammoud,1,1.53452657122,-0.344950669356,-2.29967377732
Khamenei,1,0.902567851004,-0.334161557782,-1.87343916965
Khamenei,2,0.547573664585,-0.654778180952,-0.712555738292
Khamenei,3,0.91756611379,-1.09131526539,-2.5190171818
Mohammed,Maher,1,-2.32832392839,-0.0407001806049
Tokhtakhounov,1,0.775657093395,-0.894968265813,-3.26112277665
Tokhtakhounov,2,0.55009691015,-1.70669886896,-2.01529580814
Naimi,1,1.37908319369,0.989429918716,-0.623939024286
Naimi,2,1.21919247359,0.856465375733,-0.925821499629
Naimi,3,1.7984345557,0.627850493391,-0.310597052361
Naimi,4,1.76828899618,0.0333049744505,-0.465609969279
Naimi,5,1.26183927132,0.00668648737569,-1.77929139329
Naimi,6,2.05737345485,0.300718963249,-1.96637128226
Naimi,7,1.85269213381,0.217979506201,-2.022435306
Naimi,8,1.0845223005,0.508135300784,-1.50528836554
Kabaeva,1,0.0851601897818,0.885882040822,-1.41301098765
Chretien,1,-0.822070293722,0.625465890089,-3.90407763388
Richman,1,-0.918513563012,0.470136706928,-1.41034143573
Krauss,1,-1.19305777027,0.154717646022,-1.49187493178
Lohman,1,-1.59053082754,0.320582837702,-1.29344235977
Lohman,2,0.115434077685,0.111129033454,-2.13638695228
MacDonald,1,0.322453972252,0.890300906218,-2.43633655085
Houston,1,0.692727496789,-0.275500770268,0.261555885775
Kemakeza,1,2.07588012602,-1.76343601926,-0.0314942443256
Wagner,1,0.957046122375,0.668392557974,-2.47158782048
Leiter,1,1.47493630838,1.64166050725,-2.03635494925
Iverson,1,-0.223824058215,-0.68507073576,-0.583087984841
Iverson,2,0.396967389304,-1.00572394492,0.558427478373
Rock,1,1.80366914727,1.23579119922,-2.53425950469
Janney,1,-0.224952128749,0.227744534381,-1.492281989
Janney,2,-2.15686558162,-0.191595027614,-1.44735333117
Searing,1,0.271993811665,0.518934739503,-1.02001297494
Sheedy,1,-0.71828797171,1.70453134472,-2.73879508122
Felix,1,-0.714865599515,-1.00552743177,0.460433109721
Felix,2,0.217070988384,-0.488055404463,-0.561230991031
Felix,3,0.017069752873,-0.834000576701,0.119082437041
Felix,4,0.571547441002,-1.56662695748,0.534084461235
Felix,5,-0.0106353624297,-1.84225475152,0.460128955627
Powell,1,-0.864807638329,0.272927050165,-1.22508839634
Baptista,1,1.0241726099,0.792567981716,-1.56098845597
Mourning,1,0.77257677826,-1.39567212158,0.729248514319
Pacino,1,1.13358610812,1.39262968404,-1.93457658123
Pacino,2,0.262100831041,2.06672995267,-1.6195735645
Pacino,3,0.932768445733,0.505999527284,-1.77544711707
Sharpton,1,0.743050212471,-0.045113790322,0.427319499735
Sharpton,2,1.15648164379,-1.90347217574,1.28370812788
Sharpton,3,0.625298789603,-0.647101978012,-0.297225412902
Sharpton,4,0.846623565846,-0.783447549821,-0.631473816331
Sharpton,5,1.10989830708,-1.62131477351,-0.0882155691636
Sharpton,6,0.841877560088,-2.11943590508,0.101840010571
Sharpton,7,0.423368403365,-0.171247830155,-0.395054565794
Noboa,1,0.932658514852,0.574787448915,-1.75420727444
Noboa,2,0.201197630006,0.872748314437,-2.17237440551
Noboa,3,0.336810655573,1.09822498719,-0.863360618169
Silva,Calderon,1,-0.152675022044,0.0871823394421
Silva,Calderon,2,-0.872585822022,0.77947065246
Silva,Calderon,3,0.22175458255,0.0670262074557
Silva,Calderon,4,-0.96306998131,0.694510071796
Uribe,1,1.30902828957,0.536230085792,-1.26609745442
Uribe,2,1.02324894571,1.42795945544,-2.32199191231
Uribe,3,1.35163170051,1.66979150385,-1.89720307616
Uribe,4,1.51989191285,0.816893800551,-2.01059112365
Uribe,5,0.747466096345,1.06524497057,-2.09006213023
Uribe,6,1.10449737413,1.56505448377,-2.7138714007
Uribe,7,2.3088179876,1.70703493079,-2.32269474098
Uribe,8,0.443602258066,1.35849982658,-1.83838791975
Uribe,9,1.42480253042,1.3581023066,-1.96268855381
Uribe,10,1.54483436145,1.29868136102,-1.71746104708
Uribe,11,1.80394012152,1.34420490954,-1.84808834679
Uribe,12,0.914847220729,1.55464752388,-2.51181240158
Uribe,13,1.86075768998,2.01194898297,-3.46686081184
Uribe,14,1.40377175538,-0.0638932615741,-2.34846028679
Uribe,15,0.591389784507,0.405014112199,-2.42845347579
Uribe,16,1.77102839257,1.16957931281,-2.19678447529
Uribe,17,1.89466095457,1.73263275132,-2.12556268193
Uribe,18,0.258241682689,0.431199432392,-1.02737528516
Uribe,19,1.60999681753,1.30070147647,-1.42713951043
Uribe,20,0.562019227001,0.101700159044,-1.85738173247
Uribe,21,1.77816750717,1.5501383113,-2.52580355979
Uribe,22,1.23827401247,2.10668186104,-2.21513699114
Uribe,23,2.16332954504,1.12459297255,-2.64823033019
Uribe,24,0.43486462267,1.14088850575,-2.17324844423
Uribe,25,1.10878163905,1.15613126587,-1.63110735596
Uribe,26,1.02687763896,0.755387536522,-2.39920973728
Uribe,27,0.825758620891,0.993821287384,-2.69597839394
Uribe,28,0.943169164532,1.15155726529,-2.28504942929
Uribe,29,0.394401469628,0.446425691948,-1.25516730312
Uribe,30,0.809773020615,0.642088237353,-1.72775539843
Uribe,31,1.64685389669,1.68625684977,-2.52590508954
Uribe,32,1.44417560196,1.58598906777,-2.40216836205
Uribe,33,1.82532026215,0.602302630135,-1.63788110056
Uribe,34,0.995428288321,1.40530308523,-2.79945429613
Uribe,35,0.0942372055183,1.4005663094,-2.95309611483
Beaupre,1,-2.25908725906,1.06931812618,-3.00228838478
Hannigan,1,-2.08123568201,0.693307746473,-0.851563552622
Wagner,1,-0.477431696073,0.703144689683,-1.2909007865
Beard,1,-0.828230269849,0.895018483546,-1.24142100177
Beard,2,-0.466983559285,-0.0186524770306,-0.791986844739
Bynes,1,-1.32659824102,1.72968438655,-2.23695348758
Bynes,2,-1.37865351923,1.08655548321,-2.02227015011
Bynes,3,-0.281625303444,1.45216911218,-0.949284145955
Bynes,4,-2.0673729993,0.948127644597,-1.94651249424
Coetzer,1,-0.505419515039,0.0404394887915,-1.62238985004
Coetzer,2,0.281333965938,0.289849512528,-1.32199912843
Marsh,1,-1.54622346612,0.580428456203,-1.36578212158
Plumer,1,-1.11293078351,0.154711596307,-1.47105117363
Frey,1,-0.905417048663,1.34399627744,-1.68783016051
Tamblyn,1,-1.72195913503,1.53124230028,-2.85177666804
Tamblyn,2,-1.46938505329,0.467697800116,-2.92374575665
Lee,1,0.760902073826,-0.890418348921,-0.501856167601
Vega,1,-1.71634998812,0.154631596407,-1.9889248342
Vega,2,-2.06512329358,-0.423829368641,-1.23140634027
Vega,3,-2.46119928918,0.421221292157,-0.927076833082
Vega,4,-1.95880409718,-0.595773023615,-0.492943620005
Vega,5,-2.16464469276,-0.743158735526,-1.07529960415
Vega,6,-2.25123676777,0.347632707125,-2.55165234712
Vega,7,-2.79200579847,-0.456942137821,-1.21086199563
Mauresmo,1,1.01374870411,-0.546522335872,-1.69012360615
Mauresmo,2,0.107452186602,1.03246695437,-2.08138902724
Mauresmo,3,0.381026783218,0.740959539671,-3.2722086258
Mauresmo,4,1.24198063843,1.05379223968,-2.55966524834
Mauresmo,5,0.757740604277,0.200290278702,-1.53303502252
Mauresmo,6,0.420266191274,0.892809928665,-2.0234164518
Mauresmo,7,0.0172548483829,0.365009918919,-1.90384344928
